No.	Word	Sentence
1	Parent	My parent always supports my education.
2	Department	She works in the science department at school.
3	Scourge	Plastic waste has become a scourge to the ocean.
4	Ocean	The ocean looks calm in the morning.
5	Sometimes	I sometimes read books before sleeping.
6	Banana	He eats a banana every morning.
7	Feather	A white feather floated gently to the ground.
8	Vulture	A vulture circled high above the desert.
9	Viable	This plan is viable for the future.
10	Confidence	She spoke with confidence during the presentation.
11	Pianist	The pianist played beautifully on stage.
12	Baker	The baker sells fresh bread every day.
13	Roast	We roast chicken for Sunday dinner.
14	Editor	The editor corrected all the mistakes.
15	Aural	He has strong aural skills in music class.
16	Manager	The manager praised the team for their hard work.
17	Building	The building has twenty floors.
18	Snowfall	Heavy snowfall covered the town overnight.
19	Peanut	He is allergic to peanut products.
20	Judge	The judge listened carefully to both sides.
21	Bought	She bought a new pair of shoes.
22	Orchestra	The orchestra performed a classical song.
23	February	February has fewer days than other months.
24	Socks	I lost one of my socks again.
25	Umbrella	She carried an umbrella because it was raining.
26	Astronaut	The astronaut floated inside the spacecraft.
27	Capable	She is capable of solving difficult problems.
28	Popsicle	The popsicle melted under the hot sun.
29	Different	Everyone has different opinions.
30	Curtains	The curtains blocked the sunlight.
31	Skinny	The skinny cat slipped through the fence.
32	Motorbike	He rides his motorbike to work every day.
33	Champion	The champion lifted the trophy proudly.
34	Secretary	The secretary answered the phone politely.
35	Anticipate	I anticipate a great holiday this year.
36	Handshake	They greeted each other with a firm handshake.
37	Gymnast	The gymnast practiced every afternoon.
38	Elbow	He hurt his elbow while playing basketball.
39	Resonate	Her words resonate with many people.
40	Passive	He remained passive during the discussion.
41	Theatre	We watched a play at the theatre.
42	Holiday	We went to Bali for the holiday.
43	Rubber	Rubber bands are very flexible.
44	Emerald	The emerald ring sparkled brightly.
45	Concern	I have concern for your safety.
46	Fraction	She learned how to solve a fraction.
47	Snorkeling	We went snorkeling near the coral reef.
48	Scorpion	A scorpion hid under the rock.
49	Cash	He paid for the food with cash.
50	Sister	My sister helps me with homework.
51	Mastodon	The mastodon is an extinct animal.
52	Keyboard	She typed quickly on the keyboard.
53	Remember	Remember to turn off the lights.
54	Ribbon	The gift was wrapped with a red ribbon.
55	Sandwich	He packed a sandwich for lunch.
56	Mistake	Everyone makes a mistake sometimes.
57	Atonal	The music sounded atonal and unusual.
58	Wristwatch	His wristwatch stopped working.
59	Glamorous	She wore a glamorous dress to the party.
60	Seaport	The seaport was busy with ships.
61	Spider	A spider built a web in the corner.
62	Future	She dreams about the future.
63	Curious	The curious child asked many questions.
64	Ulcer	The doctor treated the stomach ulcer.
65	Dessert	We shared dessert after dinner.
66	Mansion	The mansion looked grand and old.
67	Planet	Earth is a planet in the solar system.
68	Infant	The infant slept peacefully.
69	Denominator	Find the denominator in the fraction.
70	Fireworks	Fireworks lit up the night sky.
71	Milestone	Graduating from school is a milestone.
72	Green	The leaves are bright green.
73	Kayak	They paddled the kayak across the lake.
74	Pineapple	She cut a fresh pineapple.
75	Descendent	He is a descendent of a royal family.
76	Length	Measure the length of the table.
77	Centurion	The centurion led the soldiers bravely.
78	Zebra	A zebra crossed the road slowly.
79	Lawyer	The lawyer gave helpful advice.
80	Great	You did a great job on the test.
81	Verbal	She has strong verbal communication skills.
82	Stoat	The stoat has brown fur in summer.
83	Recipe	Follow the recipe carefully.
84	City	The city is busy at night.
85	Blouse	She bought a new blouse.
86	Landscape	The landscape looked beautiful at sunset.
87	Meant	I meant to call you earlier.
88	Satellite	The satellite orbits the Earth.
89	Thailand	Thailand is famous for its beaches.
90	Helicopter	The helicopter landed safely.
91	Tornado	The tornado damaged several houses.
92	Cabbage	She chopped cabbage for soup.
93	Minus	Five minus two equals three.
94	Opinion	Everyone has an opinion.
95	Candidate	The candidate gave a strong speech.
96	Grandmother	My grandmother tells wonderful stories.
97	Python	The python slithered through the grass.
98	Sandpit	Children played in the sandpit.
99	Mixture	Mix the ingredients into a smooth mixture.
100	Receptionist	The receptionist welcomed the guests.
101	Swell	The waves began to swell as the storm approached.
102	Stool	He sat on a wooden stool.
103	Tongue	Stick out your tongue and say “ah”.
104	College	She plans to study abroad after college.
105	Museum	The museum displays ancient artifacts.
106	Seaweed	Seaweed washed up on the shore.
107	Barefoot	The children walked barefoot on the sand.
108	Earthquake	The earthquake shook the entire city.
109	Shellfish	Some people are allergic to shellfish.
110	Button	Press the button to start the machine.
111	Nationality	What is your nationality?
112	Grave	The old grave was covered with moss.
113	Delightful	We had a delightful afternoon together.
114	Coat	She wore a thick coat in winter.
115	Suburbs	They live in the quiet suburbs.
116	Cousin	My cousin visits us every holiday.
117	Diplomatic	The leaders held diplomatic talks.
118	Operation	The operation was successful.
119	Comfortable	This chair is very comfortable.
120	Spicy	I like spicy food.
121	Nephew	My nephew is learning to read.
122	Camera	She took photos with her camera.
123	Official	The announcement is now official.
124	Employee	The employee arrived early.
125	Fancy	She wore a fancy dress to the party.
126	Strawberry	He picked fresh strawberry from the farm.
127	Volcanic	The island has volcanic mountains.
128	Fountain	Water sprayed from the fountain.
129	Partial	He gave a partial answer.
130	Medium	I ordered a medium-sized drink.
131	Crowded	The bus was crowded this morning.
132	Sleepy	I feel sleepy after lunch.
133	Village	The village is peaceful and quiet.
134	Homework	She finished her homework early.
